Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-06-13,14962.4,25138.33,24128.3,22466.88,9479.16,15308.310000000001,13100.5,1530.0,43388.38,86833.44,1735.3999999999999,12651.06,1326.12,148408.96,46386.270000000004,1335.2,11846.880000000001,3603.3999999999996,23602.809999999998,28971.27,1284.84,14900.500000000002,208911.0,1411.0,55220.25,855.64,12927.980000000001,3405.0,42153.21,1317.2400000000002,18365.76,896955.49
2019-06-14,14957.36,25287.57,24010.7,22386.24,9526.32,15436.11,13093.499999999998,1523.8799999999999,43377.32,86833.44,1740.6999999999998,12534.14,1307.2,148438.5,46624.41,1306.3999999999999,11983.68,3615.9700000000003,23740.64,28663.89,1269.81,14920.05,208836.30000000002,1396.0,55360.49999999999,859.68,12997.14,3372.0,42638.76,1281.6000000000001,18285.12,897604.93
2019-06-17,15088.24,25465.510000000002,24545.5,22651.2,9526.32,15448.89,13219.500000000002,1528.56,43178.24,86765.76,1733.45,12695.3,1308.92,148482.81,46919.25,1297.2,11897.039999999999,3615.9700000000003,23743.72,28905.0,1296.9900000000002,15127.45,208736.69999999998,1355.0,55453.99999999999,900.12,13002.08,3333.0,42160.68,1279.44,18466.56,899128.4
2019-06-18,15210.96,25786.949999999997,25863.600000000002,23143.68,9597.060000000001,15338.130000000001,13408.5,1544.67,43487.92,87171.84000000001,1757.5,13019.2,1312.36,148453.27000000002,47588.310000000005,1371.6,12081.720000000001,3595.02,24029.39,28954.35,1343.52,15141.9,208761.6,1486.0,55734.49999999999,898.96,13021.84,3307.5,41944.049999999996,1344.6000000000001,18627.84,904328.34
2019-06-19,15270.32,26932.08,25490.5,23356.8,9620.64,15474.45,13817.999999999998,1544.94,44328.479999999996,87780.96,1768.45,12995.5,1348.48,148482.81,48081.6,1357.6,12084.0,3649.4900000000002,24182.62,29485.920000000002,1331.3700000000001,15065.400000000001,209209.8,1467.0,55815.25000000001,905.72,12962.56,3193.5,42160.68,1370.16,18524.52,909059.6000000001
2019-06-20,15345.52,26914.86,25927.3,23567.04,9266.94,15487.23,14014.0,1583.55,43698.06,89946.72,1803.6000000000001,13216.7,1412.1200000000001,148512.35,47650.68,1366.0,12248.16,3624.3500000000004,24844.820000000003,29136.239999999998,1384.29,15322.95,209309.4,1484.0,55959.74999999999,878.48,12883.519999999999,3208.5,41951.52,1398.6000000000001,18842.039999999997,912189.29
2019-06-21,15290.4,26788.58,25717.3,23673.600000000002,9125.460000000001,15350.909999999998,13965.0,1578.8700000000001,43543.219999999994,90623.52,1786.5,13193.0,1434.48,148527.12,47633.670000000006,1330.0,12321.119999999999,3628.54,24717.77,28833.09,1392.1200000000001,15406.25,209209.8,1456.0,55347.74999999999,887.44,12819.3,3285.0,42265.26,1412.64,19106.64,911650.35
2019-06-24,15311.2,26237.54,25865.7,23633.28,8818.92,15566.039999999999,13615.0,1582.29,43886.08,91977.12,1789.6000000000001,13327.3,1413.8400000000001,148556.66,48166.65,1327.6,12282.359999999999,3657.8700000000003,24665.41,27989.91,1356.84,15481.05,209334.3,1476.0,55759.99999999999,894.56,12799.54,3252.0,42631.29,1447.56,18925.199999999997,913028.7100000002
2019-06-25,15026.16,25324.879999999997,25543.0,23477.76,8889.66,15553.259999999998,13482.000000000002,1580.7599999999998,43930.32,92180.15999999999,1792.5,13292.539999999999,1489.52,148571.43,48013.560000000005,1307.2,12131.880000000001,3674.6299999999997,24640.0,27994.14,1329.1200000000001,15124.050000000001,209384.1,1453.0,55930.0,879.04,12829.18,3340.5,42429.6,1450.08,18758.88,910802.91
2019-06-26,15182.64,25689.370000000003,25931.5,23160.96,9314.1,15225.240000000002,13566.0,1591.92,43388.38,91232.64,1787.2,13164.56,1518.76,148600.97,47055.329999999994,1481.6,11992.800000000001,3683.0099999999998,24452.12,28140.780000000002,1356.48,15035.65,209135.09999999998,1471.0,55572.99999999999,877.08,12839.06,3309.0,41697.54,1555.92,18839.52,907849.2300000001
2019-06-27,15234.24,25959.15,25176.2,23460.48,9337.68,15180.509999999998,13667.499999999998,1581.39,43211.42,91232.64,1785.2,13218.279999999999,1560.04,148630.50999999998,47219.76,1522.8,12027.0,3708.1499999999996,24419.78,28889.489999999998,1352.61,14979.55,209309.4,1458.0,55964.0,891.36,12839.06,3253.5,41884.29,1589.7599999999998,18648.0,909191.7500000001
